RCT,Paper,Experiment_ID,Publication,Country,Region,Site,Latitude,Longitude,NDVI_paper,GCC,GC,MAT,MAP,Biomes,Species,Sand_paper,Silt_paper,Clay_paper,BD,Magnitude_W,Magnitude_Other,Magnitude_O_Note,Start_yr,Duration,Mid_yr,SWC,SWC_matric,pH,SOC_paper,TN,CN,TP,MBN,MBN_unit,MBC,MBC_unit,Convertor,Cmic,Data_source,Comments,Collecter,Checker,tmean,phh2o,soc,prec,land_cover,clay,sand,nitrogen,elev,ndvi
120,63,,Zhang et al. 2012,China,Henan,Xuchang,33.93,114.27,NA,C,W,14.3,640.9,Agriculture,Wheat,NA,NA,NA,NA,1,,,2008,2,2009,NA,,7.67,0.5,0.22,NA,NA,36.83,mg/kg,0.154,g/kg,83.33333333,12.83333333,Table 4-5,SE,JJ,XR,2886.916667,76.7,50,854.4,C,245.35,231.73,220,56,0.229172915
121,63,,Zhang et al. 2012,China,Jiangsu,Zhenjiang,31.9,119.5,NA,C,W,16.2,1058.4,Agriculture,Wheat,NA,NA,NA,NA,0.7,,,2008,2,2009,NA,,7.21,0.7,0.31,NA,NA,22.14,mg/kg,0.31,g/kg,83.33333333,25.83333333,Table 4-5,SE,JJ,XR,2896.916667,72.1,70,1212.1,C,355.04,185.4,310,6,0.229172915
122,64,,Xi et al. 2019,China,Tibetan plateau,Changjiangyuan,34.7,92.9,NA,C,W,-5.3,270,Meadow,Kobresia tibetica,NA,NA,NA,NA,3.45,,,2015,2,2016,NA,,NA,9.26,NA,NA,NA,NA,,0.256,g/kg,83.33333333,21.33333333,Figure 4-5,Contact author for SE or SD,JJ,XR,2698.166667,74.91,926,345.2,G,236.85,448.87,296.26,4754,0.199286684
123,64,,Xi et al. 2019,China,Tibetan plateau,Changjiangyuan,34.7,92.9,NA,C,W,-5.3,270,Meadow,Kobresia tibetica,NA,NA,NA,NA,3.45,,,2015,2,2016,NA,,NA,1.968666667,NA,NA,NA,NA,,0.05,g/kg,83.33333333,4.166666667,Figure 4-5,Contact author for SE or SD,JJ,XR,2698.166667,74.91,196.8666667,345.2,G,236.85,448.87,296.26,4754,0.199286684
124,65,,Li et al. 2016,China,Sichuan,A'Ba,31.85,102.7,NA,C,W,9,850,Forest,Fir,NA,NA,NA,NA,2,,,2014,1,2015,NA,,NA,NA,NA,NA,NA,80.832,mg/kg,1.262,g/kg,83.33333333,105.1666667,Figure 3,OL; Contact author for SE or SD,JJ,XR,2761.166667,60.43,625.7,877.1,FC,201.84,400.23,483.58,4000,0.199286684
125,66,,Wang et al. 2018,China,Qinghai,Gangcha,37.32,100.15,0.27,C,W,0.08,387,Grassland,Needlegrass,NA,NA,NA,NA,1.6,,,2013,2,2014,13.2,VWC,NA,3.2,0.38,8.5,NA,42.857,mg/kg,0.729,g/kg,83.33333333,60.75,Figure 1,,JJ,XR,2746.416667,79.98,320,594,G,160.6,405.43,380,3300,0.27
126,66,,Wang et al. 2018,China,Qinghai,Gangcha,37.32,100.15,0.18,C,W,0.08,387,Grassland,Needlegrass,NA,NA,NA,NA,1.5,,,2013,3,2015,15.6,VWC,NA,3.3,0.38,8.7,NA,107.238,mg/kg,0.835,g/kg,83.33333333,69.58333333,Figure 1,,JJ,XR,2749.833333,79.98,330,504.7,G,160.6,405.43,380,3300,0.18
128,68,,Suzuki et al. 2006,Japan,Gifu University,Takayama Field Station,36.13,137.42,NA,C,W,NA,NA,Pasture,Zoysia japonica,NA,NA,NA,NA,1.4,,,2009,5,2012,NA,SWC lower by 4.2%,NA,7.966,0.478,16.66527197,NA,NA,,0.1969,g/kg,83.33333333,16.40833333,Figure 1,,JJ,XR,2830.583333,50.23,796.6,1857,G,321.02,370.63,478,1305,0.185492307
129,69,Org,Bradford et al. 2008,USA,Massachusetts,Harvard Forest,42.5,-72.18,NA,C,W,NA,1080,Forest,Mixed deciduous forest,NA,NA,NA,NA,5,,,2006,NA,2006,NA,,NA,NA,NA,NA,NA,NA,,0.2425,g/kg,83.33333333,20.20833333,Tasble 1,Organic horizon,JJ,XR,2812.25,47.64,934.83,1154.4,FB,96.6,596.19,617.65,318,0.185154051
130,69,Min,Bradford et al. 2008,USA,Massachusetts,Harvard Forest,42.5,-72.18,NA,C,W,NA,1080,Forest,Mixed deciduous forest,NA,NA,NA,NA,5,,,2006,NA,2006,NA,,NA,NA,NA,NA,NA,NA,,0.082,g/kg,83.33333333,6.833333333,Tasble 1,First 10 cm of mineral soil,JJ,XR,2812.25,47.64,934.83,1154.4,FB,96.6,596.19,617.65,318,0.185154051
